Name,Login,Method,URL,Body,Headers,Response JSON,Response Status
nf_cloud_backend.tests.cases.test_auth.DatabaseAuthenticationTest.test_this,,,,,,,
,,POST,https://localhost:8000/users/login/database/local,"{""login_id"": ""testperson"", ""password"": ""password""}","Headers({'host': 'localhost:8000', 'content-length': '50', 'content-type': 'application/json'})",{'jwt': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjozLCJleHBpcmVzX2F0IjozNjAwfQ.WZnufNLQ5AaaThG1ZSkTiSfv0pMKa9xTPRrDpAvaNG0'},200
nf_cloud_backend.tests.cases.test_auth.FileBasedAuthenticationTest.test_this,,,,,,,
,,POST,https://localhost:8000/users/login/file/dev,"{""login_id"": ""devadmin"", ""password"": ""developer""}","Headers({'host': 'localhost:8000', 'content-length': '49', 'content-type': 'application/json'})",{'jwt': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoxLCJleHBpcmVzX2F0IjozNjAwfQ.Qj9GnwdveHiHltqqbTEhIQuWvrKRbah0qtASEYi_7kw'},200
nf_cloud_backend.tests.cases.test_workflow.AddWorkflowShareTest.test_permissions_admin,,,,,,,
,,POST,https://localhost:8000/users/login/file/dev,"{""login_id"": ""devadmin"", ""password"": ""developer""}","Headers({'host': 'localhost:8000', 'content-length': '49', 'content-type': 'application/json'})",{'jwt': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoxLCJleHBpcmVzX2F0IjozNjAwfQ.Qj9GnwdveHiHltqqbTEhIQuWvrKRbah0qtASEYi_7kw'},200
,devadmin,POST,https://localhost:8000/workflow/1/share/add?write=true,[2],"Headers({'host': 'localhost:8000', 'content-length': '3', 'content-type': 'application/json', 'x-token': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoxLCJleHBpcmVzX2F0IjozNjAwfQ.Qj9GnwdveHiHltqqbTEhIQuWvrKRbah0qtASEYi_7kw'})",,200
nf_cloud_backend.tests.cases.test_workflow.AddWorkflowShareTest.test_permissions_owned,,,,,,,
,,POST,https://localhost:8000/users/login/file/dev,"{""login_id"": ""devuser"", ""password"": ""developer""}","Headers({'host': 'localhost:8000', 'content-length': '48', 'content-type': 'application/json'})",{'jwt': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'},200
,devuser,POST,https://localhost:8000/workflow/1/share/add?write=true,[2],"Headers({'host': 'localhost:8000', 'content-length': '3', 'content-type': 'application/json', 'x-token': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'})",,200
nf_cloud_backend.tests.cases.test_workflow.AddWorkflowShareTest.test_permissions_private,,,,,,,
,,POST,https://localhost:8000/users/login/file/dev,"{""login_id"": ""devuser"", ""password"": ""developer""}","Headers({'host': 'localhost:8000', 'content-length': '48', 'content-type': 'application/json'})",{'jwt': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'},200
,devuser,POST,https://localhost:8000/workflow/2/share/add?write=true,[2],"Headers({'host': 'localhost:8000', 'content-length': '3', 'content-type': 'application/json', 'x-token': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'})",{'detail': 'User not permitted write access to this workflow'},403
nf_cloud_backend.tests.cases.test_workflow.AddWorkflowShareTest.test_permissions_read_access,,,,,,,
,,POST,https://localhost:8000/users/login/file/dev,"{""login_id"": ""devuser"", ""password"": ""developer""}","Headers({'host': 'localhost:8000', 'content-length': '48', 'content-type': 'application/json'})",{'jwt': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'},200
,devuser,POST,https://localhost:8000/workflow/3/share/add?write=true,[2],"Headers({'host': 'localhost:8000', 'content-length': '3', 'content-type': 'application/json', 'x-token': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'})",{'detail': 'User not permitted write access to this workflow'},403
nf_cloud_backend.tests.cases.test_workflow.AddWorkflowShareTest.test_permissions_unauthenticated,,,,,,,
,,POST,https://localhost:8000/workflow/1/share/add?write=true,[2],"Headers({'host': 'localhost:8000', 'content-length': '3', 'content-type': 'application/json'})",{'detail': 'Unauthorized'},401
nf_cloud_backend.tests.cases.test_workflow.AddWorkflowShareTest.test_permissions_write_access,,,,,,,
,,POST,https://localhost:8000/users/login/file/dev,"{""login_id"": ""devuser"", ""password"": ""developer""}","Headers({'host': 'localhost:8000', 'content-length': '48', 'content-type': 'application/json'})",{'jwt': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'},200
